AÑO,DEPTO,POBL_EDAD_TRAB,TO,TD,IND_POBR_MON,INFLACION
2015,CORDOBA,77.10572415386461,58.59701956738592,6.03130732661512,46.6,6.77
2015,CUNDINAMARCA,79.72335926508013,65.75614489395025,7.897586452233334,17.0,6.77
2015,HUILA,78.20800368558879,59.28220028102547,7.611734253666954,44.3,6.77
2015,LA GUAJIRA,72.17842973480894,62.70017719596426,7.2372025338127015,53.3,6.77
2015,MAGDALENA,74.85041680094359,52.885976642406966,7.379398081512503,44.8,6.77
2015,META,77.89416636587093,57.4085870301151,10.231973455337435,21.8,6.77
2015,NARIÑO,79.43093019922603,62.108996632199535,9.1617904914319,40.0,6.77
2015,NORTE DE SANTANDER,78.5442226644382,51.799275237792045,12.49589535250792,40.0,6.77
2015,QUINDIO,81.10647255488139,55.15645481054649,12.851368255642052,31.7,6.77
2015,RISARALDA,81.6823554993902,56.014846137226456,10.525721141007153,22.3,6.77
2015,SANTANDER,81.47363048276308,64.07879559155353,6.659264399722416,17.9,6.77
2015,SUCRE,77.84556521412348,52.823559406157166,8.302147685103954,44.7,6.77
2015,TOLIMA,79.48880541373458,61.254742423958206,10.412325203719403,32.9,6.77
2015,VALLE DEL CAUCA,81.655659569672,59.55322841931665,11.03478275696482,21.5,6.77
